"n","distribution","estimand","method","coverage_rate","mean_width","sd_width","left_tail_coverage","right_tail_coverage","n_successful","se_coverage"
100,"exponential","mean","bca",0.9412,1.97705796810346,0.297544409681868,0.9728,0.9684,10000,0.00235249994686504
100,"exponential","mean","t_interval",0.9425,1.96924213204064,0.275798596503095,0.9878,0.9547,10000,0.00232795511125107
200,"exponential","mean","percentile",0.9407,1.36961650789547,0.140731943983347,0.977,0.9637,10000,0.00236185329773041
200,"exponential","mean","basic",0.9379,1.36961650789547,0.140731943983347,0.9827,0.9552,10000,0.00241337087908179
200,"exponential","mean","normal",0.9413,1.37643023310837,0.138881672832477,0.9807,0.9606,10000,0.00235062353429893
200,"exponential","mean","bca",0.9453,1.39517763863853,0.147884390485587,0.9711,0.9742,10000,0.00227393733422889
200,"exponential","mean","t_interval",0.9436,1.38899584506536,0.137000989195639,0.9818,0.9618,10000,0.0023069252263565
20,"exponential","median","percentile",0.9436,4.29188422590098,1.49073650760748,0.9728,0.9708,10000,0.0023069252263565
20,"exponential","median","basic",0.8019,4.29188422590098,1.49073650760748,0.9466,0.8553,10000,0.00398567923947726
20,"exponential","median","normal",0.933,4.54911552595647,1.623320742873,0.9761,0.9569,10000,0.00250021999032085
20,"exponential","median","bca",0.9426,4.23032214530997,1.45193569396083,0.9802,0.9624,10000,0.00232605330979322
20,"exponential","median","t_interval",NA,NA,NA,NA,NA,10000,NA
30,"exponential","median","percentile",0.9413,3.54042203790277,1.10560888923162,0.9673,0.974,10000,0.00235062353429893
30,"exponential","median","basic",0.8252,3.54042203790277,1.10560888923162,0.9509,0.8743,10000,0.00379795945212689
30,"exponential","median","normal",0.9332,3.71295668973699,1.19422963097974,0.9751,0.9581,10000,0.00249675309151706
30,"exponential","median","bca",0.9429,3.50763705059035,1.08604079423222,0.9772,0.9657,10000,0.00232033596705305
30,"exponential","median","t_interval",NA,NA,NA,NA,NA,10000,NA
40,"exponential","median","percentile",0.9449,3.06385894641178,0.865737614728263,0.9726,0.9723,10000,0.00228175349238256
40,"exponential","median","basic",0.8385,3.06385894641178,0.865737614728263,0.9508,0.8877,10000,0.00367991508054194
40,"exponential","median","normal",0.9344,3.17697260335388,0.940126651584237,0.9764,0.958,10000,0.00247581582513724
40,"exponential","median","bca",0.9464,3.02708955318042,0.855199766766593,0.9807,0.9657,10000,0.0022522664140816
40,"exponential","median","t_interval",NA,NA,NA,NA,NA,10000,NA
50,"exponential","median","percentile",0.9482,2.75617891660067,0.747437344907746,0.9743,0.9739,10000,0.00221623013245466
50,"exponential","median","basic",0.8479,2.75617891660067,0.747437344907746,0.95,0.8979,10000,0.00359117794045352
50,"exponential","median","normal",0.937,2.85394214797203,0.807964363830587,0.976,0.961,10000,0.00242962960140018
50,"exponential","median","bca",0.9478,2.72598068983156,0.739517721690373,0.9808,0.967,10000,0.00222430123859157
50,"exponential","median","t_interval",NA,NA,NA,NA,NA,10000,NA
100,"exponential","median","percentile",0.9478,1.94734964474819,0.44815489718672,0.9742,0.9736,10000,0.00222430123859157
100,"exponential","median","basic",0.8736,1.94734964474819,0.44815489718672,0.9589,0.9147,10000,0.00332299623833672
100,"exponential","median","normal",0.9391,2.00076001408505,0.482303751781781,0.9765,0.9626,10000,0.00239146795922504
100,"exponential","median","bca",0.9478,1.94781115812485,0.445588006044437,0.9793,0.9685,10000,0.00222430123859157
100,"exponential","median","t_interval",NA,NA,NA,NA,NA,10000,NA
200,"exponential","median","percentile",0.9431,1.37837808373211,0.264245790030286,0.9709,0.9722,10000,0.00231651440746653
200,"exponential","median","basic",0.8907,1.37837808373211,0.264245790030286,0.9604,0.9303,10000,0.00312015240012407
200,"exponential","median","normal",0.9363,1.41046778404536,0.283262593639004,0.9728,0.9635,10000,0.00244217751197574
200,"exponential","median","bca",0.9458,1.38521398767434,0.264323555020561,0.9763,0.9695,10000,0.00226411925480969
200,"exponential","median","t_interval",NA,NA,NA,NA,NA,10000,NA
20,"exponential","sd","percentile",0.7007,3.78858312515906,2.00530499879244,0.9974,0.7033,10000,0.00457951427555369
20,"exponential","sd","basic",0.7521,3.78858312515906,2.00530499879245,0.9607,0.7914,10000,0.00431793457569704
20,"exponential","sd","normal",0.7484,4.00661792937371,2.34417614895751,0.99,0.7584,10000,0.00433932529317635
20,"exponential","sd","bca",0.699280791129757,3.21265799918516,1.61977042502914,0.976625711717111,0.722655079412646,10000,0.00458570786560481
20,"exponential","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
30,"exponential","sd","percentile",0.7541,3.41893526802335,1.62829782606655,0.997,0.7571,10000,0.00430619542055397
30,"exponential","sd","basic",0.7919,3.41893526802335,1.62829782606655,0.9742,0.8177,10000,0.00405948752923322
30,"exponential","sd","normal",0.7869,3.57102268763391,1.8554798223173,0.9915,0.7954,10000,0.00409497728931431
30,"exponential","sd","bca",0.765934797072522,3.1155160381773,1.40752677235596,0.976713240186294,0.789221556886228,10000,0.0042341313596297
30,"exponential","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
40,"exponential","sd","percentile",0.786,3.13330229219592,1.36027756206748,0.9972,0.7888,10000,0.00410126809657696
40,"exponential","sd","basic",0.8211,3.13330229219592,1.36027756206748,0.9828,0.8383,10000,0.00383268561194367
40,"exponential","sd","normal",0.8127,3.24415775261218,1.52857395096003,0.9935,0.8192,10000,0.00390152162623764
40,"exponential","sd","bca",0.8155517578125,2.99405595402475,1.23607444468265,0.979248046875,0.8363037109375,10000,0.00387849311126681
40,"exponential","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
50,"exponential","sd","percentile",0.8078,2.95740566424367,1.24190637480997,0.9955,0.8123,10000,0.00394029389766804
